instance,ited,sized,td,tr,obj,time
h200C2_2_1.csv,5,20,4064.79417538257,0,0.04420873572479365,103.163621664047
h200C2_2_1.csv,5,20,3981.31775798897,0,0.04330084550536848,102.600439786911
h200C2_2_1.csv,5,20,4194.97366272248,0,0.045624568926743554,103.930419445037
h200C2_2_1.csv,5,30,3990.39141599359,0,0.04339953068633355,139.835249662399
h200C2_2_1.csv,5,30,4040.53642148103,0,0.04394490818882516,138.426201820373
h200C2_2_1.csv,5,30,4054.88194409627,0,0.044100930213746385,137.645462751388
h200C2_2_1.csv,10,5,4233.87091665147,0,0.04604761578844721,93.0021078586578
h200C2_2_1.csv,10,5,4054.99851656547,0,0.04410219805690431,93.4897849559784
h200C2_2_1.csv,10,5,4075.91318903047,0,0.04432966621098097,94.0521655082702
h200C2_2_1.csv,10,10,4053.30455522123,0,0.0440837745190413,128.783280372619
h200C2_2_1.csv,10,10,4147.96749438922,0,0.0451133294436067,127.687201499938
h200C2_2_1.csv,10,10,4253.2352608363,0,0.04625822255907675,127.580838441848
h200C2_2_1.csv,10,20,4195.27568212385,0,0.0456278536922994,198.996539592742
h200C2_2_1.csv,10,20,4044.7166171297,0,0.04399037203194646,195.746956348419
h200C2_2_1.csv,10,20,4168.87354212186,0,0.04534070379502148,198.797586679458
h200C2_2_1.csv,10,30,4035.94198375203,0,0.0438949390453454,266.110858678817
h200C2_2_1.csv,10,30,4015.57916421448,0,0.04367347284836078,270.606423616409
h200C2_2_1.csv,10,30,4108.62082950138,0,0.044685394784525274,264.673088788986
h200C2_2_1.csv,20,5,4482.66580168816,0,0.048753511055882805,179.547155380249
h200C2_2_1.csv,20,5,4299.00286440944,0,0.04675599140143927,178.818198680877
h200C2_2_1.csv,20,5,3992.32740575894,0,0.04342058652734529,178.130549669265
h200C2_2_1.csv,20,10,4107.6654610678,0,0.04467500418938622,249.737740039825
h200C2_2_1.csv,20,10,3964.38839881615,0,0.04311672165226075,250.713264942169
h200C2_2_1.csv,20,10,4317.43696696184,0,0.04695648085623093,249.520477056503
h200C2_2_1.csv,20,20,4112.19530056111,0,0.04472427076190995,393.864091396331
h200C2_2_1.csv,20,20,4076.65539094935,0,0.04433773840530877,386.990933179855
h200C2_2_1.csv,20,20,4112.06695330608,0,0.04472287485608204,388.860205173492
h200C2_2_1.csv,20,30,4264.0647112956,0,0.046376003753583334,523.056668519973
h200C2_2_1.csv,20,30,4248.0613774836,0,0.04620195136010789,524.347406387329
h200C2_2_1.csv,20,30,4083.10500472637,0,0.04440788445912918,537.480401277542
h200C2_2_1.csv,30,5,4010.93335431884,0,0.04362294498076349,265.171191692352
h200C2_2_1.csv,30,5,4295.68250551441,0,0.04671987915010048,264.111258983612
h200C2_2_1.csv,30,5,4133.02579488486,0,0.044950823393812595,265.018052339553
h200C2_2_1.csv,30,10,4164.74351597232,0,0.04529578559579574,367.888822317123
h200C2_2_1.csv,30,10,4155.0300859216,0,0.045190142248662885,370.331278324127
h200C2_2_1.csv,30,10,4126.98644025029,0,0.04488513932188467,369.406048297882
h200C2_2_1.csv,30,20,4157.55305431723,0,0.04521758207420679,574.25369310379
h200C2_2_1.csv,30,20,4474.93390675112,0,0.048669418901354136,572.30962061882
h200C2_2_1.csv,30,20,4079.29636851706,0,0.044366461699603246,579.675171136856
h200C2_2_1.csv,30,30,4173.84771676812,0,0.04539480296041522,783.322610378265
h200C2_2_1.csv,30,30,3990.26580357243,0,0.04339816452458189,797.951427221298
h200C2_2_1.csv,30,30,4244.02704817218,0,0.04615807396050042,792.329472780227
h200C2_2_2.csv,5,5,4962.94476441263,0,0.0539770291040668,47.9150819778442
h200C2_2_2.csv,5,5,4916.022964568,0,0.053466707213323666,47.6424250602722
