file_name,seed,td,rd
h100rc206.csv,6,1842.40191,0
h100rc206.csv,7,1663.423068,0
h100rc206.csv,8,1766.441777,0
h100rc206.csv,9,1741.212114,0
h100rc206.csv,10,1945.114025,0
h100rc207.csv,1,1772.536331,0
h100rc207.csv,2,1791.141677,0
h100rc207.csv,3,1816.787779,0
h100rc207.csv,4,1726.78683,0
h100rc207.csv,5,1534.321997,0
h100rc207.csv,6,1799.999499,0
h100rc207.csv,7,1878.975911,0
h100rc207.csv,8,2010.637618,0
h100rc207.csv,9,1581.393498,0
h100rc207.csv,10,1964.825224,0
h100rc208.csv,1,1377.2195,0
h100rc208.csv,2,1263.770575,0
h100rc208.csv,3,1558.147349,0
h100rc208.csv,4,1501.386955,0
h100rc208.csv,5,1416.977645,0
h100rc208.csv,6,1561.058032,0
h100rc208.csv,7,1288.672979,0
h100rc208.csv,8,1556.546833,0
h100rc208.csv,9,1283.394046,0
h100rc208.csv,10,1349.815271,0
